x,y,z,n1,n2,n3
0,4.0,0,0.37,-0.91,-0.18
0,3.8,1,0.37,-0.91,-0.18
1,4.4,0,0.37,-0.91,-0.18
0,3.8,1,0.14,0.78,0.61
1,4.4,0,0.14,0.78,0.61
1,3.625,1,0.14,0.78,0.61
0,3.8,1,-0.14,-0.77,-0.62
0,3.0,2,-0.14,-0.77,-0.62
1,3.625,1,-0.14,-0.77,-0.62
0,3.0,2,0.1,0.8,0.6
1,3.625,1,0.1,0.8,0.6
1,2.875,2,0.1,0.8,0.6
0,3.0,2,-0.09,-0.7,-0.7
0,2.0,3,-0.09,-0.7,-0.7
1,2.875,2,-0.09,-0.7,-0.7
0,2.0,3,-0.66,0.75,0.0
1,2.875,2,-0.66,0.75,0.0
1,2.875,3,-0.66,0.75,0.0
0,2.0,3,0.53,-0.6,0.6
0,3.0,4,0.53,-0.6,0.6
1,2.875,3,0.53,-0.6,0.6
0,3.0,4,0.34,0.91,0.23
1,2.875,3,0.34,0.91,0.23
1,2.625,4,0.34,0.91,0.23
0,3.0,4,-0.26,-0.68,-0.68
0,2.0,5,-0.26,-0.68,-0.68
1,2.625,4,-0.26,-0.68,-0.68
0,2.0,5,-0.44,0.89,0.11
1,2.625,4,-0.44,0.89,0.11
1,2.5,5,-0.44,0.89,0.11
0,2.0,5,0.39,-0.79,0.47
0,2.6,6,0.39,-0.79,0.47
1,2.5,5,0.39,-0.79,0.47
0,2.6,6,-0.14,0.96,-0.24
1,2.5,5,-0.14,0.96,-0.24
1,2.75,6,-0.14,0.96,-0.24
0,2.6,6,0.1,-0.64,-0.76
0,1.4,7,0.1,-0.64,-0.76
1,2.75,6,0.1,-0.64,-0.76
0,1.4,7,-0.06,0.62,0.78
1,2.75,6,-0.06,0.62,0.78
1,1.5,7,-0.06,0.62,0.78
0,1.4,7,0.09,-0.92,-0.37
0,1.0,8,0.09,-0.92,-0.37
1,1.5,7,0.09,-0.92,-0.37
0,1.0,8,-0.45,0.89,0.0
1,1.5,7,-0.45,0.89,0.0
1,1.5,8,-0.45,0.89,0.0
0,1.0,8,0.44,-0.88,0.18
0,1.2,9,0.44,-0.88,0.18
1,1.5,8,0.44,-0.88,0.18
0,1.2,9,-0.05,0.97,0.24
1,1.5,8,-0.05,0.97,0.24
1,1.25,9,-0.05,0.97,0.24
0,1.2,9,0.05,-0.93,0.37
0,1.6,10,0.05,-0.93,0.37
1,1.25,9,0.05,-0.93,0.37
0,1.6,10,-0.23,0.83,-0.52
1,1.25,9,-0.23,0.83,-0.52
1,1.875,10,-0.23,0.83,-0.52
0,1.6,10,0.26,-0.95,0.19
0,1.8,11,0.26,-0.95,0.19
1,1.875,10,0.26,-0.95,0.19
0,1.8,11,-0.07,1.0,0.0
1,1.875,10,-0.07,1.0,0.0
1,1.875,11,-0.07,1.0,0.0
0,1.8,11,0.07,-0.98,0.2
0,2.0,12,0.07,-0.98,0.2
1,1.875,11,0.07,-0.98,0.2
0,2.0,12,-0.23,0.91,-0.34
1,1.875,11,-0.23,0.91,-0.34
1,2.25,12,-0.23,0.91,-0.34
0,2.0,12,0.19,-0.77,-0.61
0,1.2,13,0.19,-0.77,-0.61
1,2.25,12,0.19,-0.77,-0.61
0,1.2,13,-0.44,0.8,0.4
1,2.25,12,-0.44,0.8,0.4
1,1.75,13,-0.44,0.8,0.4
0,1.2,13,0.3,-0.55,0.78
0,2.6,14,0.3,-0.55,0.78
1,1.75,13,0.3,-0.55,0.78
0,2.6,14,0.08,0.8,-0.6
1,1.75,13,0.08,0.8,-0.6
1,2.5,14,0.08,0.8,-0.6
0,2.6,14,-0.1,-0.98,0.2
0,2.8,15,-0.1,-0.98,0.2
1,2.5,14,-0.1,-0.98,0.2
0,2.8,15,0.47,0.86,0.21
1,2.5,14,0.47,0.86,0.21
1,2.25,15,0.47,0.86,0.21
0,2.8,15,-0.43,-0.78,0.47
0,3.4,16,-0.43,-0.78,0.47
1,2.25,15,-0.43,-0.78,0.47
0,3.4,16,0.11,0.7,-0.7
1,2.25,15,0.11,0.7,-0.7
1,3.25,16,0.11,0.7,-0.7
0,3.4,16,-0.14,-0.92,-0.37
0,3.0,17,-0.14,-0.92,-0.37
1,3.25,16,-0.14,-0.92,-0.37
0,3.0,17,0.12,0.93,0.35
1,3.25,16,0.12,0.93,0.35
1,2.875,17,0.12,0.93,0.35
0,3.0,17,-0.12,-0.92,-0.37
0,2.6,18,-0.12,-0.92,-0.37
1,2.875,17,-0.12,-0.92,-0.37
0,2.6,18,-0.45,0.86,-0.22
1,2.875,17,-0.45,0.86,-0.22
1,3.125,18,-0.45,0.86,-0.22
0,2.6,18,0.46,-0.87,-0.17
0,2.4,19,0.46,-0.87,-0.17
1,3.125,18,0.46,-0.87,-0.17
0,2.4,19,-0.42,0.88,0.22
1,3.125,18,-0.42,0.88,0.22
1,2.875,19,-0.42,0.88,0.22
0,2.4,19,0.42,-0.89,0.18
0,2.6,20,0.42,-0.89,0.18
1,2.875,19,0.42,-0.89,0.18
0,2.6,20,-0.02,0.97,0.24
1,2.875,19,-0.02,0.97,0.24
1,2.625,20,-0.02,0.97,0.24
0,2.6,20,0.02,-0.71,0.71
0,3.6,21,0.02,-0.71,0.71
1,2.625,20,0.02,-0.71,0.71
0,3.6,21,0.39,0.82,-0.41
1,2.625,20,0.39,0.82,-0.41
1,3.125,21,0.39,0.82,-0.41
0,3.6,21,-0.43,-0.9,0.0
0,3.6,22,-0.43,-0.9,0.0
1,3.125,21,-0.43,-0.9,0.0
0,3.6,22,0.62,0.73,0.27
1,3.125,21,0.62,0.73,0.27
1,2.75,22,0.62,0.73,0.27
0,3.6,22,-0.65,-0.76,0.0
0,3.6,23,-0.65,-0.76,0.0
1,2.75,22,-0.65,-0.76,0.0
0,3.6,23,0.58,0.81,-0.1
