x,y,z,n1,n2,n3
0.0,1.5,0.0,-0.8,-0.53,-0.27
0.0,1.4,0.2,-0.8,-0.53,-0.27
0.2,1.2,0.0,-0.8,-0.53,-0.27
0.0,1.4,0.2,0.82,0.41,0.41
0.2,1.2,0.0,0.82,0.41,0.41
0.2,1.0,0.2,0.82,0.41,0.41
0.0,1.4,0.2,-0.82,-0.41,-0.41
0.0,1.2,0.4,-0.82,-0.41,-0.41
0.2,1.0,0.2,-0.82,-0.41,-0.41
0.0,1.2,0.4,0.3,0.81,-0.51
0.2,1.0,0.2,0.3,0.81,-0.51
0.2,1.125,0.4,0.3,0.81,-0.51
0.0,1.2,0.4,-0.26,-0.68,-0.68
0.0,1.0,0.6000000000000001,-0.26,-0.68,-0.68
0.2,1.125,0.4,-0.26,-0.68,-0.68
0.0,1.0,0.6000000000000001,-0.73,0.58,-0.36
0.2,1.125,0.4,-0.73,0.58,-0.36
0.2,1.25,0.6000000000000001,-0.73,0.58,-0.36
0.0,1.0,0.6000000000000001,0.66,-0.53,0.53
0.0,1.2,0.8,0.66,-0.53,0.53
0.2,1.25,0.6000000000000001,0.66,-0.53,0.53
0.0,1.2,0.8,-0.6,0.68,-0.43
0.2,1.25,0.6000000000000001,-0.6,0.68,-0.43
0.2,1.375,0.8,-0.6,0.68,-0.43
0.0,1.2,0.8,0.53,-0.6,-0.6
0.0,1.0,1.0,0.53,-0.6,-0.6
0.2,1.375,0.8,0.53,-0.6,-0.6
0.0,1.0,1.0,-0.89,0.28,-0.36
0.2,1.375,0.8,-0.89,0.28,-0.36
0.2,1.625,1.0,-0.89,0.28,-0.36
0.0,1.0,1.0,0.95,-0.3,0.0
0.0,1.0,1.2000000000000002,0.95,-0.3,0.0
0.2,1.625,1.0,0.95,-0.3,0.0
0.0,1.0,1.2000000000000002,-0.95,0.25,-0.16
0.2,1.625,1.0,-0.95,0.25,-0.16
0.2,1.75,1.2000000000000002,-0.95,0.25,-0.16
0.0,1.0,1.2000000000000002,0.76,-0.2,0.61
0.0,1.6,1.4000000000000001,0.76,-0.2,0.61
0.2,1.75,1.2000000000000002,0.76,-0.2,0.61
0.0,1.6,1.4000000000000001,-0.11,0.84,0.53
0.2,1.75,1.2000000000000002,-0.11,0.84,0.53
0.2,1.625,1.4000000000000001,-0.11,0.84,0.53
0.0,1.6,1.4000000000000001,0.09,-0.7,-0.7
0.0,1.4,1.6,0.09,-0.7,-0.7
0.2,1.625,1.4000000000000001,0.09,-0.7,-0.7
0.0,1.4,1.6,-0.83,0.47,-0.3
0.2,1.625,1.4000000000000001,-0.83,0.47,-0.3
0.2,1.75,1.6,-0.83,0.47,-0.3
0.0,1.4,1.6,0.78,-0.44,0.44
0.0,1.6,1.8,0.78,-0.44,0.44
0.2,1.75,1.6,0.78,-0.44,0.44
0.0,1.6,1.8,0.59,0.25,0.77
0.2,1.75,1.6,0.59,0.25,0.77
0.2,1.125,1.8,0.59,0.25,0.77
0.0,1.6,1.8,-0.92,-0.39,0.0
0.0,1.6,2.0,-0.92,-0.39,0.0
0.2,1.125,1.8,-0.92,-0.39,0.0
0.0,1.6,2.0,0.93,0.31,0.19
0.2,1.125,1.8,0.93,0.31,0.19
0.2,1.0,2.0,0.93,0.31,0.19
0.0,1.6,2.0,-0.8,-0.27,-0.53
0.0,1.2,2.2,-0.8,-0.27,-0.53
0.2,1.0,2.0,-0.8,-0.27,-0.53
0.0,1.2,2.2,0.3,0.81,-0.51
0.2,1.0,2.0,0.3,0.81,-0.51
0.2,1.125,2.2,0.3,0.81,-0.51
0.0,1.2,2.2,-0.07,-0.2,0.98
0.0,2.2,2.4000000000000004,-0.07,-0.2,0.98
0.2,1.125,2.2,-0.07,-0.2,0.98
0.0,2.2,2.4000000000000004,0.85,0.24,-0.46
0.2,1.125,2.2,0.85,0.24,-0.46
0.2,1.5,2.4000000000000004,0.85,0.24,-0.46
0.0,2.2,2.4000000000000004,-0.84,-0.24,-0.48
0.0,1.8,2.6,-0.84,-0.24,-0.48
0.2,1.5,2.4000000000000004,-0.84,-0.24,-0.48
0.0,1.8,2.6,0.6,0.68,-0.43
0.2,1.5,2.4000000000000004,0.6,0.68,-0.43
0.2,1.625,2.6,0.6,0.68,-0.43
0.0,1.8,2.6,-0.53,-0.6,-0.6
0.0,1.6,2.8000000000000003,-0.53,-0.6,-0.6
0.2,1.625,2.6,-0.53,-0.6,-0.6
0.0,1.6,2.8000000000000003,-0.54,0.72,-0.45
0.2,1.625,2.6,-0.54,0.72,-0.45
0.2,1.75,2.8000000000000003,-0.54,0.72,-0.45
0.0,1.6,2.8000000000000003,0.32,-0.42,-0.85
0.0,1.2,3.0,0.32,-0.42,-0.85
0.2,1.75,2.8000000000000003,0.32,-0.42,-0.85
0.0,1.2,3.0,-0.94,0.28,-0.17
0.2,1.75,2.8000000000000003,-0.94,0.28,-0.17
0.2,1.875,3.0,-0.94,0.28,-0.17
